City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
536,Trincomalee,LK,81.72,8.5711,81.2335,Welcombe Hotel
537,Banda Aceh,ID,83.52,5.5577,95.3222,Sulthan Hotel International
538,Canguaretama,BR,77.49,-6.38,-35.1289,Pousada do Italiano
540,Kloulklubed,PW,86.5,7.0419,134.2556,Storyboard Beach Resort
543,Cartagena,CO,80.22,10.3997,-75.5144,Hotel Colombia Real - Cartagena
544,Wewak,PG,85.39,-3.5534,143.6268,In Wewak Boutique Hotel
556,Alugan,PH,79.66,12.2188,125.4808,JM Lodge
564,Ambilobe,MG,81.41,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
566,Cururupu,BR,75.43,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
567,Lahat,ID,84.33,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
568,Kieta,PG,83.19,-6.2167,155.6333,Uruna Bay Retreat
575,Maceio,BR,78.24,-9.6658,-35.7353,Poutur Pousada
588,Bintulu,MY,82.81,3.1667,113.0333,900 Boutique INN
598,Padang,ID,87.85,-0.9492,100.3543,Mercure Padang
603,Santiago Del Estero,AR,77.81,-27.7951,-64.2615,Apartamentos Castelli 90
613,Monrovia,LR,79.0,6.3005,-10.7969,Sunset Inn
615,Manggar,ID,80.78,-2.8833,108.2667,Guest Hotel
617,Ratnagiri,IN,76.77,16.9833,73.3,Hotel Landmark
618,Salinopolis,BR,79.29,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
619,Callaguip,PH,83.05,18.0714,120.4867,Pangil Beach Resort
621,Pathein,MM,79.48,16.7833,94.7333,New Pammawaddy Hotel
622,Tecoanapa,MX,78.17,16.5167,-98.75,Hotel Manglares
626,Tutoia,BR,80.8,-2.7619,-42.2744,Pousada Guará's
629,Victor Harbor,AU,82.18,-35.5667,138.6167,McCracken Country Club
636,Xai-Xai,MZ,79.56,-25.0519,33.6442,Complexo da Familia
644,Kramat,ID,80.28,-8.1311,113.4499,Padepokan HM Arum Sabil
646,Ourossogui,SN,77.0,15.6064,-13.3211,Hotel welma
652,Pedernales,DO,78.35,18.0384,-71.744,Hotel Costa Marina
656,Garissa,KE,76.28,-0.4536,39.6401,Sharif Plaza Hotel
657,Ternate,ID,83.37,0.8,127.4,Sahid Bela Ternate Hotel
662,Maragogi,BR,77.25,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
666,Hirara,JP,76.86,24.8,125.2833,Hotel Atoll Emerald Miyakojima
668,Nsanje,MW,79.39,-16.92,35.262,Nsanje Discovery Lodge
669,Auki,SB,78.93,-8.7676,160.7034,Auki Motel
684,Miri,MY,78.94,4.4148,114.0089,"Mega Hotel, Miri"
