City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
49,Kapaa,US,2021-12-05 09:42:29,22.0752,-159.319,64.38,88,40,6.91
50,Puerto Madryn,AR,2021-12-05 09:43:13,-42.7692,-65.0385,68.32,38,0,6.85
51,New Norfolk,AU,2021-12-05 09:46:51,-42.7826,147.0587,60.3,82,21,4.14
52,Tasiilaq,GL,2021-12-05 09:46:51,65.6145,-37.6368,29.66,88,100,74.96
53,Vanimo,PG,2021-12-05 09:46:52,-2.6741,141.3028,81.21,84,99,7.23
54,Raahe,FI,2021-12-05 09:46:52,64.6833,24.4833,-9.31,91,20,4.97
55,Georgetown,MY,2021-12-05 09:45:11,5.4112,100.3354,87.75,62,20,1.99
56,Faanui,PF,2021-12-05 09:46:53,-16.4833,-151.75,80.85,65,83,13.13
57,Yulara,AU,2021-12-05 09:46:53,-25.2406,130.9889,82.24,32,71,11.5
58,Albany,US,2021-12-05 09:42:12,42.6001,-73.9662,34.38,81,94,5.79
59,Mataura,NZ,2021-12-05 09:46:54,-46.1927,168.8643,48.47,98,100,1.68
60,Puerto Ayacucho,VE,2021-12-05 09:46:54,5.6639,-67.6236,73.13,88,88,3.44
61,Turukhansk,RU,2021-12-05 09:46:55,65.8167,87.9833,-39.75,100,31,3.8
62,Linkou,CN,2021-12-05 09:46:55,45.3,130.2833,20.08,88,5,6.73
63,Dikson,RU,2021-12-05 09:46:55,73.5069,80.5464,4.24,95,100,19.37
64,Arraial Do Cabo,BR,2021-12-05 09:46:56,-22.9661,-42.0278,73.26,88,0,10.36
65,Kruisfontein,ZA,2021-12-05 09:46:56,-34.0033,24.7314,72.88,87,100,4.61
66,Saskylakh,RU,2021-12-05 09:46:57,71.9167,114.0833,-17.23,96,100,14.32
67,Port Alfred,ZA,2021-12-05 09:46:57,-33.5906,26.891,72.7,86,100,24.16
68,Cape Town,ZA,2021-12-05 09:46:53,-33.9258,18.4232,70.21,73,75,1.99
69,Islamkot,PK,2021-12-05 09:46:58,24.6997,70.177,84.51,18,0,6.06
70,Porto Santo,PT,2021-12-05 09:46:58,33.072,-16.3415,64.78,72,75,12.66
71,Grindavik,IS,2021-12-05 09:46:59,63.8424,-22.4338,41.47,70,75,51.79
72,San Quintin,MX,2021-12-05 09:46:59,30.4833,-115.95,58.03,88,88,7.96
73,Ondarroa,ES,2021-12-05 09:47:00,43.3167,-2.4167,50.29,76,100,23.62
74,Tessalit,ML,2021-12-05 09:47:00,20.1986,1.0114,74.75,12,93,9.13
75,Pingyin,CN,2021-12-05 09:47:01,36.2831,116.4453,46.8,51,0,8.25
76,Tuktoyaktuk,CA,2021-12-05 09:47:01,69.4541,-133.0374,-19.98,88,12,6.58
77,Natal,BR,2021-12-05 09:44:01,-5.795,-35.2094,80.82,83,20,10.36
78,Lagoa,PT,2021-12-05 09:47:02,39.05,-27.9833,62.8,76,62,12.5
79,Ostrovnoy,RU,2021-12-05 09:47:02,68.0531,39.5131,4.28,94,80,10.09
80,Ippy,CF,2021-12-05 09:47:02,6.2679,21.2247,95.5,19,49,6.82
81,Ponta Do Sol,PT,2021-12-05 09:47:03,32.6667,-17.1,66.7,65,98,6.64
82,Kirovsk,UA,2021-12-05 09:47:03,48.6375,38.6428,32.32,98,100,8.21
83,Rorvik,NO,2021-12-05 09:47:04,64.8621,11.2373,22.66,68,13,24.36
84,Ulladulla,AU,2021-12-05 09:47:04,-35.35,150.4667,60.1,69,52,3.85
85,Saint-Philippe,RE,2021-12-05 09:47:04,-21.3585,55.7679,87.39,70,2,13.22
86,Tuatapere,NZ,2021-12-05 09:47:05,-46.1333,167.6833,48.81,85,100,5.61
87,East London,ZA,2021-12-05 09:47:05,-33.0153,27.9116,70.74,94,90,13.8
88,Quatre Cocos,MU,2021-12-05 09:47:06,-20.2078,57.7625,85.08,69,16,13.6
89,Yellowknife,CA,2021-12-05 09:47:06,62.456,-114.3525,-19.68,69,40,6.91
90,Teguise,ES,2021-12-05 09:47:06,29.0605,-13.564,62.82,68,20,19.57
91,Ereymentau,KZ,2021-12-05 09:47:07,51.6199,73.1033,28.38,91,100,1.68
92,Alofi,NU,2021-12-05 09:47:08,-19.0595,-169.9187,76.89,94,81,4.61
